"","gmDate","gmTime","teamAbbr","teamLoc","teamRslt","teamMin","teamDayOff","teamPTS","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFGA","teamFGM","teamFG.","team3PA","team3PM","team3P.","teamFTA","teamFTM","teamFT.","teamORB","teamDRB","teamTRB","teamPTS5","teamPTS6","teamPTS7","teamPTS8","opptAbbr","opptMin","opptDayOff","opptPTS","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFGA","opptFGM","opptFG.","oppt3PA","oppt3PM","oppt3P.","opptFTA","opptFTM","opptFT.","opptORB","opptDRB","opptTRB","opptPTS5","opptPTS6","opptPTS7","opptPTS8","nrow","teamCircadian","opptCircadian","teamDistance","opptDistance"
"1","10/30/2012","19:00","CLE","Home","Win",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"WAS",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA
"2","10/30/2012","20:00","MIA","Home","Win",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"BOS",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,NA,NA,NA,NA
"3","10/30/2012","22:30","LAL","Home","Loss",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"DAL",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,NA,NA,NA
"4","10/31/2012","19:00","PHI","Home","Win",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"DEN",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,NA,NA,NA,NA
"5","10/31/2012","19:00","TOR","Home","Loss",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"IND",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,NA,NA,NA,NA
"6","10/31/2012","19:30","DET","Home","Loss",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"HOU",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6,NA,NA,NA,NA
"7","10/31/2012","20:00","CHI","Home","Win",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"SAC",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,NA,NA,NA,NA
"8","10/31/2012","20:00","NO","Home","Loss",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"SA",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8,NA,NA,NA,NA
"9","10/31/2012","21:00","UTA","Home","Win",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"DAL",240,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9,NA,0,NA,936
"10","10/31/2012","22:00","PHO","Home","Loss",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"GS",240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,NA,NA,NA,NA
