"","gmDate","gmTime","teamAbbr","teamLoc","teamRslt","teamMin","teamDayOff","teamPTS","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFGA","teamFGM","teamFG.","team3PA","team3PM","team3P.","teamFTA","teamFTM","teamFT.","teamORB","teamDRB","teamTRB","teamPTS5","teamPTS6","teamPTS7","teamPTS8","opptAbbr","opptMin","opptDayOff","opptPTS","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFGA","opptFGM","opptFG.","oppt3PA","oppt3PM","oppt3P.","opptFTA","opptFTM","opptFT.","opptORB","opptDRB","opptTRB","opptPTS5","opptPTS6","opptPTS7","opptPTS8","nrow","teamCircadian","opptCircadian"
"4","10/30/2012","19:00","CLE","Home","Win",240,0,94,22,21,7,5,21,79,36,0.4557,20,7,0.35,22,15,0.6818,18,36,54,0,0,0,0,"WAS",240,0,84,26,13,11,10,19,90,32,0.3556,32,8,0.25,20,12,0.6,18,21,39,0,0,0,0,1,NA,NA
"10","10/30/2012","20:00","MIA","Home","Win",240,0,120,25,8,8,5,20,79,43,0.5443,16,8,0.5,32,26,0.8125,5,31,36,0,0,0,0,"BOS",240,0,107,24,16,4,2,23,75,39,0.52,13,6,0.4615,28,23,0.8214,7,34,41,0,0,0,0,2,NA,NA
"16","10/30/2012","22:30","LAL","Home","Loss",240,0,91,24,14,6,5,21,77,38,0.4935,13,3,0.2308,31,12,0.3871,15,31,46,0,0,0,0,"DAL",240,0,99,22,12,9,5,25,85,40,0.4706,15,5,0.3333,18,14,0.7778,9,31,40,0,0,0,0,3,NA,NA
"22","10/31/2012","19:00","PHI","Home","Win",240,0,84,18,16,13,11,14,85,30,0.3529,25,7,0.28,21,17,0.8095,14,33,47,0,0,0,0,"DEN",240,0,75,19,22,9,5,22,88,33,0.375,18,4,0.2222,11,5,0.4545,16,38,54,0,0,0,0,4,NA,NA
"28","10/31/2012","19:00","TOR","Home","Loss",240,0,88,18,10,12,8,18,91,33,0.3626,17,6,0.3529,19,16,0.8421,15,27,42,0,0,0,0,"IND",240,0,90,22,19,3,10,16,78,37,0.4744,11,5,0.4545,16,11,0.6875,9,37,46,0,0,0,0,5,NA,NA
"34","10/31/2012","19:30","DET","Home","Loss",240,0,96,21,16,12,4,15,79,35,0.443,16,6,0.375,26,20,0.7692,10,26,36,0,0,0,0,"HOU",240,0,105,28,20,12,3,24,79,39,0.4937,27,10,0.3704,23,17,0.7391,12,33,45,0,0,0,0,6,NA,NA
"40","10/31/2012","20:00","CHI","Home","Win",240,0,93,21,18,8,10,19,79,33,0.4177,9,2,0.2222,33,25,0.7576,14,32,46,0,0,0,0,"SAC",240,0,87,14,21,10,5,29,84,34,0.4048,17,6,0.3529,16,13,0.8125,11,29,40,0,0,0,0,7,NA,NA
"46","10/31/2012","20:00","NO","Home","Loss",240,0,95,26,15,7,6,20,80,35,0.4375,17,4,0.2353,23,21,0.913,9,34,43,0,0,0,0,"SA",240,0,99,22,16,9,8,21,80,38,0.475,20,6,0.3,26,17,0.6538,10,33,43,0,0,0,0,8,NA,NA
"52","10/31/2012","21:00","UTA","Home","Win",240,0,113,24,14,10,8,25,89,38,0.427,14,6,0.4286,42,31,0.7381,20,41,61,0,0,0,0,"DAL",240,1,94,20,16,8,5,32,85,32,0.3765,22,11,0.5,26,19,0.7308,8,32,40,0,0,0,0,9,NA,1
"58","10/31/2012","22:00","PHO","Home","Loss",240,0,85,16,18,10,12,23,80,32,0.4,21,4,0.1905,22,17,0.7727,11,33,44,0,0,0,0,"GS",240,0,87,19,18,9,3,20,86,33,0.3837,17,5,0.2941,23,16,0.6957,17,32,49,0,0,0,0,10,NA,NA
"64","10/31/2012","22:30","LAC","Home","Win",240,0,101,25,22,12,9,27,74,38,0.5135,15,5,0.3333,29,20,0.6897,8,31,39,0,0,0,0,"MEM",240,0,92,24,21,14,4,25,86,33,0.3837,14,2,0.1429,30,24,0.8,17,27,44,0,0,0,0,11,NA,NA
"70","10/31/2012","22:30","POR","Home","Win",240,0,116,19,12,10,5,20,83,42,0.506,20,9,0.45,28,23,0.8214,10,20,30,0,0,0,0,"LAL",240,1,106,21,25,6,2,29,72,36,0.5,18,8,0.4444,32,26,0.8125,15,30,45,0,0,0,0,12,NA,0
"76","11/1/2012","21:30","SA","Home","Win",240,1,86,27,13,9,4,21,79,35,0.443,19,5,0.2632,16,11,0.6875,6,33,39,0,0,0,0,"OKC",240,0,84,18,18,6,5,20,77,29,0.3766,17,7,0.4118,23,19,0.8261,12,36,48,0,0,0,0,13,0,NA
"82","11/2/2012","19:00","ORL","Home","Win",240,0,102,24,13,8,8,24,86,42,0.4884,15,5,0.3333,18,13,0.7222,11,35,46,0,0,0,0,"DEN",240,2,89,22,14,5,5,17,84,32,0.381,26,7,0.2692,27,18,0.6667,15,30,45,0,0,0,0,14,NA,0
"88","11/2/2012","19:00","CHA","Home","Win",240,0,90,18,11,10,9,23,85,31,0.3647,19,7,0.3684,24,21,0.875,10,31,41,0,0,0,0,"IND",240,2,89,19,19,5,5,16,83,33,0.3976,26,7,0.2692,27,16,0.5926,14,38,52,0,0,0,0,15,NA,0
"94","11/2/2012","19:30","BOS","Home","Loss",240,3,88,22,18,9,4,18,74,33,0.4459,14,5,0.3571,21,17,0.8095,6,30,36,0,0,0,0,"MIL",240,0,99,26,19,12,5,17,86,40,0.4651,18,8,0.4444,12,11,0.9167,11,35,46,0,0,0,0,16,0,NA
"100","11/2/2012","19:30","CLE","Home","Loss",240,3,86,23,17,7,1,25,79,32,0.4051,20,8,0.4,27,14,0.5185,11,22,33,0,0,0,0,"CHI",240,2,115,34,17,7,4,21,69,44,0.6377,10,4,0.4,30,23,0.7667,5,36,41,0,0,0,0,17,0,1
"106","11/2/2012","19:30","ATL","Home","Loss",240,0,102,23,13,12,4,26,85,40,0.4706,22,7,0.3182,17,15,0.8824,7,29,36,0,0,0,0,"HOU",240,2,109,22,21,8,2,18,90,38,0.4222,30,8,0.2667,29,25,0.8621,23,35,58,0,0,0,0,18,NA,0
"112","11/2/2012","20:00","NY","Home","Win",240,0,104,27,14,10,0,22,84,36,0.4286,36,19,0.5278,15,13,0.8667,13,28,41,0,0,0,0,"MIA",240,3,84,18,21,4,5,18,71,33,0.4648,20,7,0.35,13,11,0.8462,7,34,41,0,0,0,0,19,NA,0
"118","11/2/2012","20:00","NO","Home","Win",240,2,88,23,12,7,4,16,81,37,0.4568,14,5,0.3571,14,9,0.6429,12,30,42,0,0,0,0,"UTA",240,2,86,19,15,7,6,21,85,35,0.4118,28,10,0.3571,12,6,0.5,16,28,44,0,0,0,0,20,0,1
"124","11/2/2012","20:00","MIN","Home","Win",240,0,92,17,11,4,10,17,87,32,0.3678,17,2,0.1176,36,26,0.7222,17,36,53,0,0,0,0,"SAC",240,2,80,17,12,7,4,34,89,32,0.3596,16,3,0.1875,16,13,0.8125,11,32,43,0,0,0,0,21,NA,0
"130","11/2/2012","20:00","OKC","Home","Win",240,1,106,18,12,2,10,22,76,39,0.5132,9,5,0.5556,32,23,0.7188,8,39,47,0,0,0,0,"POR",240,2,92,17,12,4,0,25,89,32,0.3596,26,9,0.3462,24,19,0.7917,11,33,44,0,0,0,0,22,0,2
"136","11/2/2012","22:00","PHO","Home","Win",240,2,92,15,14,6,5,20,92,40,0.4348,11,2,0.1818,14,10,0.7143,15,37,52,0,0,0,0,"DET",240,2,89,20,10,2,5,19,90,37,0.4111,13,4,0.3077,19,11,0.5789,10,29,39,0,0,0,0,23,0,-2
"142","11/2/2012","22:30","LAL","Home","Loss",240,2,95,15,20,7,7,23,68,34,0.5,16,7,0.4375,28,20,0.7143,7,31,38,0,0,0,0,"LAC",240,2,105,24,12,12,4,26,84,38,0.4524,22,8,0.3636,27,21,0.7778,9,28,37,0,0,0,0,24,0,0
"148","11/2/2012","22:30","GS","Home","Loss",240,2,94,21,19,5,5,24,80,36,0.45,20,10,0.5,17,12,0.7059,9,27,36,0,0,0,0,"MEM",240,2,104,22,14,9,4,22,77,35,0.4545,13,6,0.4615,34,28,0.8235,9,31,40,0,0,0,0,25,-1,0
